goodreads_id,title,publication_info,number_of_rattings,number_of_reviews,book_rate,number_of_5_stars_rating,number_of_4_stars_rating,number_of_3_stars_rating,number_of_2_stars_rating,number_of_1_stars_rating,author_name,author_no_of_books,author_followers,original_title,all_contributors,number_of_editions,currently_reading,to_read,first_published_date,publisher,no_of_papers,book_type,is_translated,translator,main_genre,sub_genre
13637412,ساق البامبو,2012-05-01,55915,8774,4.22,26012,19469,7737,1845,852,سعود السنعوسي,5,119,ساق البامبو,"سعود السنعوسي,Saud Alsanousi",1,3177,39600,2019-01-01, الدار العربية للعلوم ناشرون,400.0,Paperback,False,,Novels,Novels
3438000,ثلاثية غرناطة,1994-01-01,45598,7873,4.3,23774,14689,4996,1368,771,رضوى عاشور,26,107,ثلاثية غرناطة,"رضوى عاشور,Radwa Ashour",23,6400,64300,2019-01-01, دار الشروق,502.0,Paperback,False,,Novels,Novels
3554772,عزازيل,2008-01-01,49996,5633,4.04,20395,17125,8116,2676,1684,Youssef Ziedan,40,1609,عزازيل,"Youssef Ziedan,يوسف زيدان,Lorenzo Declich (Translator)",39,4716,46300,2019-01-01, دار الشروق,470.0,Paperback,True,Lorenzo Declich,Novels,Novels
16081961,الأسود يليق بك,2012-01-01,62949,6047,3.64,20138,16418,14599,7253,4541,Ahlam Mosteghanemi,12,4092,الأسود يليق بك,"Ahlam Mosteghanemi,أحلام مستغانمي",12,6329,62600,2019-01-01, nawfal,331.0,Paperback,False,,Novels,Novels
16031620,الفيل الأزرق,2012-01-01,63245,6181,3.79,20850,20147,13598,5421,3229,أحمد مراد,8,179,الفيل الأزرق,أحمد مراد,13,3350,41800,2019-01-01, دار الشروق,385.0,Paperback,False,,Novels,Novels
3503947,يوتوبيا,2009-01-01,52363,5930,3.93,17819,19393,10475,3121,1555,أحمد خالد توفيق,553,293,يوتوبيا,أحمد خالد توفيق,26,2674,40500,2019-01-01, دار ميريت,192.0,Paperback,False,,Novels,Novels
4653511,رجال في الشمس,2002-01-01,20687,3137,4.19,8989,7761,3104,633,200,غسان كنفاني,73,102,رجال في الشمس,"غسان كنفاني,Ghassan Kanafani",55,723,24900,2019-01-01, مؤسسة الأبحاث العربية,93.0,Paperback,False,,Novels,Novels
2364284._,أولاد حارتنا,1959-01-01,26747,3186,4.1,11939,8565,3979,1378,886,Naguib Mahfouz,429,144,أولاد حارتنا,"Naguib Mahfouz,نجيب محفوظ",73,3008,37300,2019-01-01, دار الشروق,600.0,Paperback,False,,Novels,Novels
20316309,في قلبي أنثى عبرية,2012-07-11,53718,6691,3.98,23312,15172,8620,3908,2706,خولة حمدي,8,142,في قلبي أنثى عبرية,خولة حمدي,15,4393,40700,2019-01-01, كيان للنشر والتوزيع,386.0,Paperback,False,,Novels,Novels
2501458._,ذاكرة الجسد,1993-01-01,24678,2106,3.81,8575,7402,5391,2125,1185,Ahlam Mosteghanemi,12,4092,ذاكرة الجسد,"Ahlam Mosteghanemi,أحلام مستغانمي",35,1832,29200,2019-01-01, دار الآداب,404.0,Paperback,False,,Novels,Novels
